uuid,work_id,item_type,series,year,month,format,title,clean_title,part_index,part_total,proposed_filename,proposed_filename_display
38,w-integration-of-spirituality-and-personal,lecture,Devotional Nonduality,2003,02,DVD,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life,2,3,2003-02_Integration_of_Spirituality_and_Personal_Life_[2-3].mp4,2003-02_Integration_of_Spirituality_and_Personal_Life_[2/3].mp4
39,w-integration-of-spirituality-and-personal,lecture,Devotional Nonduality,2003,02,DVD,Integration of Spirituality and Personal Life,Integration of Spirituality and Personal Life,3,3,2003-02_Integration_of_Spirituality_and_Personal_Life_[3-3].mp4,2003-02_Integration_of_Spirituality_and_Personal_Life_[3/3].mp4
40,w-spirituality-and-the-world,lecture,Devotional Nonduality,2003,04,DVD,Spirituality and the World,Spirituality and the World,1,3,2003-04_Spirituality_and_the_World_[1-3].mp4,2003-04_Spirituality_and_the_World_[1/3].mp4
41,w-spirituality-and-the-world,lecture,Devotional Nonduality,2003,04,DVD,Spirituality and the World,Spirituality and the World,2,3,2003-04_Spirituality_and_the_World_[2-3].mp4,2003-04_Spirituality_and_the_World_[2/3].mp4
42,w-spirituality-and-the-world,lecture,Devotional Nonduality,2003,04,DVD,Spirituality and the World,Spirituality and the World,3,3,2003-04_Spirituality_and_the_World_[3-3].mp4,2003-04_Spirituality_and_the_World_[3/3].mp4
43,w-spiritual-community,lecture,Devotional Nonduality,2003,06,DVD,Spiritual Community,Spiritual Community,1,3,2003-06_Spiritual_Community_[1-3].mp4,2003-06_Spiritual_Community_[1/3].mp4
44,w-spiritual-community,lecture,Devotional Nonduality,2003,06,DVD,Spiritual Community,Spiritual Community,2,3,2003-06_Spiritual_Community_[2-3].mp4,2003-06_Spiritual_Community_[2/3].mp4
45,w-spiritual-community,lecture,Devotional Nonduality,2003,06,DVD,Spiritual Community,Spiritual Community,3,3,2003-06_Spiritual_Community_[3-3].mp4,2003-06_Spiritual_Community_[3/3].mp4
46,w-enlightenment,lecture,Devotional Nonduality,2003,08,DVD,Enlightenment,Enlightenment,1,3,2003-08_Enlightenment_[1-3].mp4,2003-08_Enlightenment_[1/3].mp4
47,w-enlightenment,lecture,Devotional Nonduality,2003,08,DVD,Enlightenment,Enlightenment,2,3,2003-08_Enlightenment_[2-3].mp4,2003-08_Enlightenment_[2/3].mp4
48,w-enlightenment,lecture,Devotional Nonduality,2003,08,DVD,Enlightenment,Enlightenment,3,3,2003-08_Enlightenment_[3-3].mp4,2003-08_Enlightenment_[3/3].mp4
49,w-realization-of-the-self-as-the-i,lecture,Devotional Nonduality,2003,11,DVD,Realization of the Self as the 'I',Realization of the Self as the 'I',1,3,2003-11_Realization_of_the_Self_as_the_'I'_[1-3].mp4,2003-11_Realization_of_the_Self_as_the_'I'_[1/3].mp4
50,w-realization-of-the-self-as-the-i,lecture,Devotional Nonduality,2003,11,DVD,Realization of the Self as the 'I',Realization of the Self as the 'I',2,3,2003-11_Realization_of_the_Self_as_the_'I'_[2-3].mp4,2003-11_Realization_of_the_Self_as_the_'I'_[2/3].mp4
51,w-realization-of-the-self-as-the-i,lecture,Devotional Nonduality,2003,11,DVD,Realization of the Self as the 'I',Realization of the Self as the 'I',3,3,2003-11_Realization_of_the_Self_as_the_'I'_[3-3].mp4,2003-11_Realization_of_the_Self_as_the_'I'_[3/3].mp4
52,w-dialogue-questions-and-answers,lecture,Devotional Nonduality,2003,12,DVD,"Dialogue, Questions, and Answers","Dialogue, Questions, and Answers",1,3,"2003-12_Dialogue,_Questions,_and_Answers_[1-3].mp4","2003-12_Dialogue,_Questions,_and_Answers_[1/3].mp4"
